TBLID,GEOID,GEONAME,PROFLN,TITLE,ESTIMATE_1,MG_ERROR_1,ESTIMATE_2,MG_ERROR_2,ESTIMATE_3,MG_ERROR_3,ESTIMATE_4,MG_ERROR_4,ESTIMATE_5,MG_ERROR_5,ESTIMATE_6,MG_ERROR_6,ESTIMATE_7,MG_ERROR_7,ESTIMATE_8,MG_ERROR_8,OCC_CODE,OCC_DESCRIPTION
EEOALL1R,04000US34,New Jersey,1,Number,"4,675,685","+/-9,047","911,415","+/-4,193","2,659,105","+/-5,903","581,210","+/-4,097","4,525",+/-393,"442,625","+/-2,586","1,210",+/-193,"75,595","+/-2,215",0,"Total, all occupations"
EEOALL1R,04000US34,New Jersey,2,Percent,100,+/-0.1,19.5,+/-0.1,56.9,+/-0.1,12.4,+/-0.1,0.1,+/-0.1,9.5,+/-0.1,0,+/-0.1,1.6,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US34,New Jersey,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US34,New Jersey,3,Number,"2,456,650","+/-5,626","500,260","+/-2,460","1,400,965","+/-3,728","270,090","+/-2,498","2,455",+/-290,"244,130","+/-1,570",510,+/-135,"38,240","+/-1,520",0,"Total, all occupations"
EEOALL1R,04000US34,New Jersey,4,Percent,52.5,+/-0.1,10.7,+/-0.1,30,+/-0.1,5.8,+/-0.1,0.1,+/-0.1,5.2,+/-0.1,0,+/-0.1,0.8,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US34,New Jersey,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US34,New Jersey,5,Number,"2,219,035","+/-6,465","411,150","+/-3,072","1,258,140","+/-3,966","311,120","+/-2,673","2,070",+/-268,"198,495","+/-2,035",705,+/-151,"37,355","+/-1,454",0,"Total, all occupations"
EEOALL1R,04000US34,New Jersey,6,Percent,47.5,+/-0.1,8.8,+/-0.1,26.9,+/-0.1,6.7,+/-0.1,0,+/-0.1,4.2,+/-0.1,0,+/-0.1,0.8,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US35,New Mexico,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US35,New Mexico,1,Number,"951,105","+/-4,042","451,400","+/-3,092","375,205","+/-2,579","17,715",+/-875,"75,980","+/-1,110","15,700",+/-779,495,+/-147,"14,615","+/-1,116",0,"Total, all occupations"
EEOALL1R,04000US35,New Mexico,2,Percent,100,+/-0.1,47.5,+/-0.2,39.4,+/-0.2,1.9,+/-0.1,8,+/-0.1,1.7,+/-0.1,0.1,+/-0.1,1.5,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US35,New Mexico,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US35,New Mexico,3,Number,"498,310","+/-2,732","237,600","+/-2,002","198,555","+/-1,621","10,405",+/-574,"35,945",+/-762,"7,735",+/-556,210,+/-104,"7,870",+/-775,0,"Total, all occupations"
EEOALL1R,04000US35,New Mexico,4,Percent,52.4,+/-0.2,25,+/-0.2,20.9,+/-0.2,1.1,+/-0.1,3.8,+/-0.1,0.8,+/-0.1,0,+/-0.1,0.8,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US35,New Mexico,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US35,New Mexico,5,Number,"452,795","+/-3,254","213,800","+/-2,360","176,655","+/-1,947","7,310",+/-528,"40,035",+/-856,"7,965",+/-506,285,+/-121,"6,745",+/-644,0,"Total, all occupations"
EEOALL1R,04000US35,New Mexico,6,Percent,47.6,+/-0.2,22.5,+/-0.2,18.6,+/-0.2,0.8,+/-0.1,4.2,+/-0.1,0.8,+/-0.1,0,+/-0.1,0.7,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US36,New York,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US36,New York,1,Number,"10,047,660","+/-15,989","1,795,630","+/-6,026","5,801,010","+/-9,288","1,377,760","+/-6,054","19,740",+/-958,"848,045","+/-3,742","3,165",+/-478,"202,310","+/-3,707",0,"Total, all occupations"
EEOALL1R,04000US36,New York,2,Percent,100,+/-0.1,17.9,+/-0.1,57.7,+/-0.1,13.7,+/-0.1,0.2,+/-0.1,8.4,+/-0.1,0,+/-0.1,2,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US36,New York,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US36,New York,3,Number,"5,186,560","+/-9,183","967,715","+/-3,019","3,027,195","+/-6,209","634,485","+/-3,607","10,360",+/-701,"445,425","+/-2,479","1,450",+/-299,"99,925","+/-2,234",0,"Total, all occupations"
EEOALL1R,04000US36,New York,4,Percent,51.6,+/-0.1,9.6,+/-0.1,30.1,+/-0.1,6.3,+/-0.1,0.1,+/-0.1,4.4,+/-0.1,0,+/-0.1,1,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US36,New York,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US36,New York,5,Number,"4,861,100","+/-11,220","827,915","+/-4,998","2,773,810","+/-5,830","743,275","+/-4,201","9,380",+/-601,"402,625","+/-2,666","1,710",+/-311,"102,385","+/-2,378",0,"Total, all occupations"
EEOALL1R,04000US36,New York,6,Percent,48.4,+/-0.1,8.2,+/-0.1,27.6,+/-0.1,7.4,+/-0.1,0.1,+/-0.1,4,+/-0.1,0,+/-0.1,1,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US37,North Carolina,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US37,North Carolina,1,Number,"4,978,430","+/-9,825","421,010","+/-2,737","3,228,605","+/-8,129","1,049,035","+/-4,748","45,690",+/-970,"146,190","+/-1,563","2,725",+/-388,"85,170","+/-2,466",0,"Total, all occupations"
EEOALL1R,04000US37,North Carolina,2,Percent,100,+/-0.1,8.5,+/-0.1,64.9,+/-0.1,21.1,+/-0.1,0.9,+/-0.1,2.9,+/-0.1,0.1,+/-0.1,1.7,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US37,North Carolina,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US37,North Carolina,3,Number,"2,564,185","+/-6,350","251,945","+/-1,591","1,694,470","+/-5,024","473,275","+/-3,092","22,505",+/-703,"79,365","+/-1,013","1,120",+/-230,"41,505","+/-1,783",0,"Total, all occupations"
EEOALL1R,04000US37,North Carolina,4,Percent,51.5,+/-0.1,5.1,+/-0.1,34,+/-0.1,9.5,+/-0.1,0.5,+/-0.1,1.6,+/-0.1,0,+/-0.1,0.8,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US37,North Carolina,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US37,North Carolina,5,Number,"2,414,245","+/-6,897","169,070","+/-2,225","1,534,135","+/-5,389","575,760","+/-3,099","23,185",+/-654,"66,825","+/-1,077","1,605",+/-329,"43,665","+/-1,657",0,"Total, all occupations"
EEOALL1R,04000US37,North Carolina,6,Percent,48.5,+/-0.1,3.4,+/-0.1,30.8,+/-0.1,11.6,+/-0.1,0.5,+/-0.1,1.3,+/-0.1,0,+/-0.1,0.9,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US38,North Dakota,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US38,North Dakota,1,Number,"412,530","+/-1,990","12,770",+/-456,"360,730","+/-1,608","10,520",+/-709,"14,220",+/-438,"6,450",+/-390,265,+/-135,"7,570",+/-746,0,"Total, all occupations"
EEOALL1R,04000US38,North Dakota,2,Percent,100,+/-0.1,3.1,+/-0.1,87.4,+/-0.2,2.6,+/-0.2,3.4,+/-0.1,1.6,+/-0.1,0.1,+/-0.1,1.8,+/-0.2,0,"Total, all occupations"
EEOALL1R,04000US38,North Dakota,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US38,North Dakota,3,Number,"224,695","+/-1,551","7,525",+/-395,"195,560","+/-1,228","6,830",+/-501,"7,145",+/-397,"3,235",+/-256,145,+/-98,"4,255",+/-546,0,"Total, all occupations"
EEOALL1R,04000US38,North Dakota,4,Percent,54.5,+/-0.2,1.8,+/-0.1,47.4,+/-0.2,1.7,+/-0.1,1.7,+/-0.1,0.8,+/-0.1,0,+/-0.1,1,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US38,North Dakota,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US38,North Dakota,5,Number,"187,835","+/-1,205","5,245",+/-344,"165,170","+/-1,048","3,690",+/-386,"7,080",+/-407,"3,215",+/-258,125,+/-73,"3,315",+/-435,0,"Total, all occupations"
EEOALL1R,04000US38,North Dakota,6,Percent,45.5,+/-0.2,1.3,+/-0.1,40,+/-0.2,0.9,+/-0.1,1.7,+/-0.1,0.8,+/-0.1,0,+/-0.1,0.8,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US39,Ohio,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US39,Ohio,1,Number,"5,892,810","+/-8,702","196,900","+/-1,703","4,776,125","+/-7,603","673,540","+/-4,284","8,500",+/-609,"129,745","+/-1,498","1,685",+/-295,"106,315","+/-2,973",0,"Total, all occupations"
EEOALL1R,04000US39,Ohio,2,Percent,100,+/-0.1,3.3,+/-0.1,81.1,+/-0.1,11.4,+/-0.1,0.1,+/-0.1,2.2,+/-0.1,0,+/-0.1,1.8,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US39,Ohio,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US39,Ohio,3,Number,"3,062,810","+/-5,826","109,935",+/-958,"2,509,810","+/-4,801","312,595","+/-2,816","4,430",+/-478,"70,830","+/-1,070",920,+/-226,"54,290","+/-1,711",0,"Total, all occupations"
EEOALL1R,04000US39,Ohio,4,Percent,52,+/-0.1,1.9,+/-0.1,42.6,+/-0.1,5.3,+/-0.1,0.1,+/-0.1,1.2,+/-0.1,0,+/-0.1,0.9,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US39,Ohio,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US39,Ohio,5,Number,"2,829,995","+/-5,828","86,960","+/-1,316","2,266,315","+/-5,292","360,945","+/-2,840","4,070",+/-394,"58,915","+/-1,058",770,+/-180,"52,025","+/-2,053",0,"Total, all occupations"
EEOALL1R,04000US39,Ohio,6,Percent,48,+/-0.1,1.5,+/-0.1,38.5,+/-0.1,6.1,+/-0.1,0.1,+/-0.1,1,+/-0.1,0,+/-0.1,0.9,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US40,Oklahoma,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US40,Oklahoma,1,Number,"1,860,415","+/-3,634","179,245","+/-1,412","1,269,765","+/-2,999","132,950","+/-1,585","124,760","+/-1,551","42,640",+/-885,"2,005",+/-367,"109,050","+/-1,814",0,"Total, all occupations"
EEOALL1R,04000US40,Oklahoma,2,Percent,100,+/-0.1,9.6,+/-0.1,68.3,+/-0.1,7.1,+/-0.1,6.7,+/-0.1,2.3,+/-0.1,0.1,+/-0.1,5.9,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US40,Oklahoma,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US40,Oklahoma,3,Number,"993,325","+/-2,326","107,685",+/-943,"678,255","+/-1,786","65,530","+/-1,128","63,750","+/-1,174","21,680",+/-520,"1,065",+/-212,"55,360","+/-1,228",0,"Total, all occupations"
EEOALL1R,04000US40,Oklahoma,4,Percent,53.4,+/-0.1,5.8,+/-0.1,36.5,+/-0.1,3.5,+/-0.1,3.4,+/-0.1,1.2,+/-0.1,0.1,+/-0.1,3,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US40,Oklahoma,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US40,Oklahoma,5,Number,"867,090","+/-2,897","71,560","+/-1,147","591,510","+/-2,354","67,420","+/-1,096","61,010","+/-1,016","20,955",+/-705,940,+/-199,"53,690","+/-1,219",0,"Total, all occupations"
EEOALL1R,04000US40,Oklahoma,6,Percent,46.6,+/-0.1,3.8,+/-0.1,31.8,+/-0.1,3.6,+/-0.1,3.3,+/-0.1,1.1,+/-0.1,0.1,+/-0.1,2.9,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US41,Oregon,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US41,Oregon,1,Number,"2,058,130","+/-5,961","255,665","+/-2,085","1,583,055","+/-4,453","37,595","+/-1,059","16,795",+/-875,"92,780","+/-1,614","8,545",+/-546,"63,695","+/-1,945",0,"Total, all occupations"
EEOALL1R,04000US41,Oregon,2,Percent,100,+/-0.1,12.4,+/-0.1,76.9,+/-0.1,1.8,+/-0.1,0.8,+/-0.1,4.5,+/-0.1,0.4,+/-0.1,3.1,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US41,Oregon,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US41,Oregon,3,Number,"1,087,005","+/-3,754","145,495","+/-1,256","829,145","+/-3,032","21,595",+/-790,"8,665",+/-651,"46,070",+/-906,"4,615",+/-302,"31,425","+/-1,435",0,"Total, all occupations"
EEOALL1R,04000US41,Oregon,4,Percent,52.8,+/-0.1,7.1,+/-0.1,40.3,+/-0.1,1,+/-0.1,0.4,+/-0.1,2.2,+/-0.1,0.2,+/-0.1,1.5,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US41,Oregon,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US41,Oregon,5,Number,"971,125","+/-4,538","110,175","+/-1,589","753,910","+/-3,359","16,000",+/-652,"8,130",+/-516,"46,710","+/-1,199","3,935",+/-384,"32,270","+/-1,159",0,"Total, all occupations"
EEOALL1R,04000US41,Oregon,6,Percent,47.2,+/-0.1,5.4,+/-0.1,36.6,+/-0.1,0.8,+/-0.1,0.4,+/-0.1,2.3,+/-0.1,0.2,+/-0.1,1.6,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US42,Pennsylvania,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US42,Pennsylvania,1,Number,"6,531,765","+/-10,984","403,575","+/-2,447","5,179,855","+/-8,235","627,070","+/-3,709","6,725",+/-607,"220,700","+/-1,778","1,500",+/-217,"92,340","+/-2,422",0,"Total, all occupations"
EEOALL1R,04000US42,Pennsylvania,2,Percent,100,+/-0.1,6.2,+/-0.1,79.3,+/-0.1,9.6,+/-0.1,0.1,+/-0.1,3.4,+/-0.1,0,+/-0.1,1.4,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US42,Pennsylvania,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US42,Pennsylvania,3,Number,"3,397,160","+/-6,564","218,255","+/-1,753","2,721,670","+/-4,824","289,805","+/-2,390","3,830",+/-376,"117,490","+/-1,072",605,+/-138,"45,495","+/-1,794",0,"Total, all occupations"
EEOALL1R,04000US42,Pennsylvania,4,Percent,52,+/-0.1,3.3,+/-0.1,41.7,+/-0.1,4.4,+/-0.1,0.1,+/-0.1,1.8,+/-0.1,0,+/-0.1,0.7,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US42,Pennsylvania,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US42,Pennsylvania,5,Number,"3,134,605","+/-6,921","185,320","+/-1,660","2,458,185","+/-5,291","337,260","+/-2,533","2,895",+/-377,"103,205","+/-1,455",895,+/-167,"46,845","+/-1,554",0,"Total, all occupations"
EEOALL1R,04000US42,Pennsylvania,6,Percent,48,+/-0.1,2.8,+/-0.1,37.6,+/-0.1,5.2,+/-0.1,0,+/-0.1,1.6,+/-0.1,0,+/-0.1,0.7,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US44,Rhode Island,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US44,Rhode Island,1,Number,"562,450","+/-2,836","75,900","+/-1,367","422,375","+/-2,375","30,070",+/-889,"1,710",+/-296,"17,965",+/-691,440,+/-230,"13,990",+/-843,0,"Total, all occupations"
EEOALL1R,04000US44,Rhode Island,2,Percent,100,+/-0.1,13.5,+/-0.2,75.1,+/-0.2,5.3,+/-0.2,0.3,+/-0.1,3.2,+/-0.1,0.1,+/-0.1,2.5,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US44,Rhode Island,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US44,Rhode Island,3,Number,"287,520","+/-1,776","40,250",+/-889,"214,695","+/-1,431","15,465",+/-604,850,+/-218,"9,460",+/-443,190,+/-137,"6,610",+/-609,0,"Total, all occupations"
EEOALL1R,04000US44,Rhode Island,4,Percent,51.1,+/-0.2,7.2,+/-0.1,38.2,+/-0.2,2.7,+/-0.1,0.2,+/-0.1,1.7,+/-0.1,0,+/-0.1,1.2,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US44,Rhode Island,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US44,Rhode Island,5,Number,"274,930","+/-2,054","35,650",+/-816,"207,680","+/-1,734","14,605",+/-573,865,+/-190,"8,505",+/-506,250,+/-164,"7,380",+/-594,0,"Total, all occupations"
EEOALL1R,04000US44,Rhode Island,6,Percent,48.9,+/-0.2,6.3,+/-0.1,36.9,+/-0.2,2.6,+/-0.1,0.2,+/-0.1,1.5,+/-0.1,0,+/-0.1,1.3,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US45,South Carolina,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US45,South Carolina,1,Number,"2,380,550","+/-7,456","125,130","+/-1,410","1,547,230","+/-4,923","628,610","+/-4,674","6,090",+/-471,"38,320","+/-1,171","1,255",+/-240,"33,905","+/-1,598",0,"Total, all occupations"
EEOALL1R,04000US45,South Carolina,2,Percent,100,+/-0.1,5.3,+/-0.1,65,+/-0.1,26.4,+/-0.1,0.3,+/-0.1,1.6,+/-0.1,0.1,+/-0.1,1.4,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US45,South Carolina,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US45,South Carolina,3,Number,"1,220,100","+/-4,265","77,905",+/-987,"816,935","+/-2,837","284,840","+/-2,887","3,220",+/-351,"19,740",+/-782,675,+/-203,"16,790","+/-1,151",0,"Total, all occupations"
EEOALL1R,04000US45,South Carolina,4,Percent,51.3,+/-0.1,3.3,+/-0.1,34.3,+/-0.1,12,+/-0.1,0.1,+/-0.1,0.8,+/-0.1,0,+/-0.1,0.7,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US45,South Carolina,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US45,South Carolina,5,Number,"1,160,450","+/-5,176","47,225","+/-1,123","730,295","+/-3,914","343,770","+/-2,794","2,875",+/-329,"18,580",+/-772,585,+/-138,"17,120",+/-897,0,"Total, all occupations"
EEOALL1R,04000US45,South Carolina,6,Percent,48.7,+/-0.1,2,+/-0.1,30.7,+/-0.1,14.4,+/-0.1,0.1,+/-0.1,0.8,+/-0.1,0,+/-0.1,0.7,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US46,South Dakota,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US46,South Dakota,1,Number,"459,025","+/-2,218","14,760",+/-498,"396,645","+/-1,893","7,610",+/-419,"24,870",+/-809,"6,775",+/-357,115,+/-59,"8,250",+/-791,0,"Total, all occupations"
EEOALL1R,04000US46,South Dakota,2,Percent,100,+/-0.1,3.2,+/-0.1,86.4,+/-0.2,1.7,+/-0.1,5.4,+/-0.2,1.5,+/-0.1,0,+/-0.1,1.8,+/-0.2,0,"Total, all occupations"
EEOALL1R,04000US46,South Dakota,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US46,South Dakota,3,Number,"243,610","+/-1,578","9,205",+/-403,"209,680","+/-1,219","4,720",+/-319,"12,200",+/-519,"3,560",+/-260,40,+/-31,"4,210",+/-481,0,"Total, all occupations"
EEOALL1R,04000US46,South Dakota,4,Percent,53.1,+/-0.2,2,+/-0.1,45.7,+/-0.2,1,+/-0.1,2.7,+/-0.1,0.8,+/-0.1,0,+/-0.1,0.9,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US46,South Dakota,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US46,South Dakota,5,Number,"215,415","+/-1,576","5,555",+/-350,"186,960","+/-1,434","2,895",+/-300,"12,670",+/-598,"3,215",+/-255,75,+/-43,"4,040",+/-465,0,"Total, all occupations"
EEOALL1R,04000US46,South Dakota,6,Percent,46.9,+/-0.2,1.2,+/-0.1,40.7,+/-0.2,0.6,+/-0.1,2.8,+/-0.1,0.7,+/-0.1,0,+/-0.1,0.9,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US47,Tennessee,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US47,Tennessee,1,Number,"3,239,355","+/-8,056","158,455","+/-1,544","2,421,565","+/-6,595","543,240","+/-3,967","6,815",+/-594,"59,240","+/-1,301","1,460",+/-257,"48,570","+/-2,036",0,"Total, all occupations"
EEOALL1R,04000US47,Tennessee,2,Percent,100,+/-0.1,4.9,+/-0.1,74.8,+/-0.1,16.8,+/-0.1,0.2,+/-0.1,1.8,+/-0.1,0,+/-0.1,1.5,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US47,Tennessee,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US47,Tennessee,3,Number,"1,688,020","+/-5,094","97,460","+/-1,016","1,279,875","+/-3,722","250,340","+/-2,723","3,290",+/-365,"31,020",+/-826,865,+/-216,"25,170","+/-1,348",0,"Total, all occupations"
EEOALL1R,04000US47,Tennessee,4,Percent,52.1,+/-0.1,3,+/-0.1,39.5,+/-0.1,7.7,+/-0.1,0.1,+/-0.1,1,+/-0.1,0,+/-0.1,0.8,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US47,Tennessee,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US47,Tennessee,5,Number,"1,551,335","+/-5,916","61,000","+/-1,199","1,141,695","+/-4,890","292,900","+/-2,730","3,525",+/-461,"28,220",+/-948,595,+/-156,"23,400","+/-1,187",0,"Total, all occupations"
EEOALL1R,04000US47,Tennessee,6,Percent,47.9,+/-0.1,1.9,+/-0.1,35.2,+/-0.1,9,+/-0.1,0.1,+/-0.1,0.9,+/-0.1,0,+/-0.1,0.7,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US48,Texas,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US48,Texas,1,Number,"13,728,630","+/-17,465","5,072,755","+/-9,419","6,092,365","+/-11,072","1,640,585","+/-6,266","31,940","+/-1,204","680,075","+/-4,024","10,180",+/-766,"200,730","+/-4,741",0,"Total, all occupations"
EEOALL1R,04000US48,Texas,2,Percent,100,+/-0.1,37,+/-0.1,44.4,+/-0.1,12,+/-0.1,0.2,+/-0.1,5,+/-0.1,0.1,+/-0.1,1.5,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US48,Texas,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US48,Texas,3,Number,"7,462,045","+/-9,882","2,884,235","+/-5,413","3,305,920","+/-7,410","774,405","+/-4,337","16,915",+/-875,"370,225","+/-2,224","5,225",+/-531,"105,115","+/-2,861",0,"Total, all occupations"
EEOALL1R,04000US48,Texas,4,Percent,54.4,+/-0.1,21,+/-0.1,24.1,+/-0.1,5.6,+/-0.1,0.1,+/-0.1,2.7,+/-0.1,0,+/-0.1,0.8,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US48,Texas,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US48,Texas,5,Number,"6,266,585","+/-13,152","2,188,520","+/-7,850","2,786,440","+/-6,964","866,180","+/-5,279","15,025",+/-757,"309,850","+/-3,147","4,955",+/-488,"95,615","+/-2,881",0,"Total, all occupations"
EEOALL1R,04000US48,Texas,6,Percent,45.6,+/-0.1,15.9,+/-0.1,20.3,+/-0.1,6.3,+/-0.1,0.1,+/-0.1,2.3,+/-0.1,0,+/-0.1,0.7,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US49,Utah,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US49,Utah,1,Number,"1,511,000","+/-3,903","202,460","+/-1,567","1,199,140","+/-3,382","16,220",+/-514,"12,355",+/-620,"38,725","+/-1,004","13,415",+/-614,"28,685","+/-1,118",0,"Total, all occupations"
EEOALL1R,04000US49,Utah,2,Percent,100,+/-0.1,13.4,+/-0.1,79.4,+/-0.1,1.1,+/-0.1,0.8,+/-0.1,2.6,+/-0.1,0.9,+/-0.1,1.9,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US49,Utah,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US49,Utah,3,Number,"842,555","+/-2,580","115,700",+/-906,"668,045","+/-2,302","10,150",+/-469,"6,035",+/-419,"19,865",+/-613,"7,640",+/-397,"15,120",+/-837,0,"Total, all occupations"
EEOALL1R,04000US49,Utah,4,Percent,55.8,+/-0.1,7.7,+/-0.1,44.2,+/-0.1,0.7,+/-0.1,0.4,+/-0.1,1.3,+/-0.1,0.5,+/-0.1,1,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US49,Utah,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US49,Utah,5,Number,"668,440","+/-3,101","86,760","+/-1,288","531,095","+/-2,596","6,065",+/-398,"6,320",+/-419,"18,860",+/-719,"5,775",+/-415,"13,560",+/-741,0,"Total, all occupations"
EEOALL1R,04000US49,Utah,6,Percent,44.2,+/-0.1,5.7,+/-0.1,35.1,+/-0.1,0.4,+/-0.1,0.4,+/-0.1,1.2,+/-0.1,0.4,+/-0.1,0.9,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US50,Vermont,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US50,Vermont,1,Number,"342,620","+/-1,873","5,815",+/-245,"321,460","+/-1,898","3,875",+/-286,865,+/-197,"5,880",+/-365,110,+/-55,"4,615",+/-383,0,"Total, all occupations"
EEOALL1R,04000US50,Vermont,2,Percent,100,+/-0.1,1.7,+/-0.1,93.8,+/-0.2,1.1,+/-0.1,0.3,+/-0.1,1.7,+/-0.1,0,+/-0.1,1.3,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US50,Vermont,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
